Time,cellID,x,y
17.5,0,72.9251,2.0082
17.6,0,72.9838,2.25464
17.7,0,73.1262,1.94189
17.8,0,73.1242,2.31113
17.9,0,73.2206,1.93729
18,0,73.3824,1.80661
18.1,0,73.4323,2.15713
18.2,0,73.4769,1.7769
18.3,0,73.4595,1.57313
18.4,0,73.7329,1.78855
18.5,0,73.7177,1.46013
18.6,0,73.992,1.56055
18.7,0,74.1752,1.65834
18.8,0,74.2205,1.89084
18.9,0,74.1788,1.50237
19,0,74.1847,1.30245
19.1,0,74.2062,1.70146
19.2,0,74.4121,1.81212
19.3,0,74.4767,1.47456
19.4,0,74.7031,1.43657
19.5,0,74.8916,1.36883
19.6,0,75.0464,1.23641
19.7,0,75.1897,1.0954
19.8,0,75.4034,1.08085
19.9,0,75.4026,1.39204
20,0,75.5139,1.03363
20.1,0,75.7423,1.00412
20.2,0,75.7256,1.33363
20.3,0,75.9245,1.0373
20.4,0,75.8744,0.804816
20.5,0,76.1632,0.861865
20.6,0,76.2873,1.07661
20.7,0,76.4975,0.91478
20.8,0,76.5026,1.22932
20.9,0,76.6793,1.34919
21,0,76.8942,1.3718
21.1,0,77.0553,1.49672
21.2,0,77.1548,1.20836
21.3,0,77.2815,1.5207
21.4,0,77.4695,1.27814
21.5,0,77.613,1.52903
21.6,0,77.7169,1.22339
21.7,0,77.9564,1.32323
21.8,0,77.9993,1.05277
21.9,0,77.9524,1.44073
22,0,78.2522,1.3423
22.1,0,78.39,1.15886
22.2,0,78.6102,1.20278
22.3,0,78.5152,0.908503
22.4,0,78.727,1.21931
22.5,0,78.8743,1.35467
22.6,0,78.9064,1.5672
22.7,0,79.0845,1.26232
22.8,0,79.3126,1.3559
22.9,0,79.3966,1.58529
23,0,79.5926,1.35186
23.1,0,79.6714,1.65418
23.2,0,79.8525,1.75585
23.3,0,80.0653,1.76519
23.4,0,80.1986,1.54947
23.5,0,80.1949,1.90443
23.6,0,80.311,2.07254
23.7,0,80.2954,2.28254
23.8,0,80.5835,2.21334
23.9,0,80.7791,2.14925
24,0,80.8187,2.43365
24.1,0,80.963,2.57678
24.2,0,81.1207,2.70215
24.3,0,81.0998,2.33926
24.4,0,81.1532,2.14622
24.5,0,81.3477,2.03754
24.6,0,81.5079,2.2952
24.7,0,81.4621,1.93388
24.8,0,81.4825,1.73492
24.9,0,81.7714,1.85508
25,0,81.9056,2.03595
25.1,0,81.8318,1.67339
25.2,0,82.062,1.58267
25.3,0,82.0066,1.34704
25.4,0,82.2906,1.37471
25.5,0,82.4904,1.35569
25.6,0,82.597,1.58848
25.7,0,82.5765,1.21954
25.8,0,82.7274,1.56757
25.9,0,82.7081,1.18667
26,0,82.8928,1.05954
26.1,0,82.8346,1.43491
26.2,0,82.9911,1.08052
26.3,0,83.1611,0.964706
26.4,0,83.3833,0.986231
26.5,0,83.5405,1.15767
26.6,0,83.5383,0.817297
26.7,0,83.7681,1.06724
26.8,0,83.9714,0.935925
26.9,0,84.1097,1.1495
27,0,84.3112,1.19566
27.1,0,84.5155,1.12105
27.2,0,84.6493,0.944863
27.3,0,84.753,0.768939
27.4,0,84.8962,1.06887
27.5,0,85.0698,0.817444
27.6,0,85.2124,0.676176
27.7,0,85.4352,0.701987
27.8,0,85.5825,0.54451
27.9,0,85.7165,0.393442
28,0,85.9138,0.330727
28.1,0,86.1078,0.471962
28.2,0,86.3125,0.418643
28.3,0,86.4105,0.651185
28.4,0,86.6246,0.468237
28.5,0,86.7164,0.74017
28.6,0,86.7031,0.365434
28.7,0,86.8949,0.247873
28.8,0,87.0182,0.0899317
28.9,0,87.2533,0.18795
29,0,87.2579,0.462092
29.1,0,87.3788,0.111915
29.2,0,87.4008,0.488145
29.3,0,87.4602,0.103242
29.4,0,87.7314,0.221202
29.5,0,87.9289,0.173391
29.6,0,87.9689,0.452723
29.7,0,88.1117,0.13129
29.8,0,88.2192,-0.0379061
29.9,0,88.1999,0.342009
30,0,88.3427,0.499437
30.1,0,88.562,0.285406
30.2,0,88.7377,0.466851
30.3,0,88.7833,0.15237
30.4,0,88.7928,-0.0532481
30.5,0,88.8746,-0.237778
30.6,0,89.1054,-0.285953
30.7,0,89.2999,-0.339267
30.8,0,89.4522,-0.476673
30.9,0,89.6689,-0.393782
31,0,89.6324,-0.109125
31.1,0,89.8007,-0.439576
31.2,0,90.0264,-0.280629
